wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,PartiallyUnrolledInputExplicitOutPaddingConv,PartiallyUnrolledInputExplicitPaddingConv
512,3,3,64,128,128,1,1,5061,35.4833,27.3026,34.0333,26.8816,36.2679,29.7794,36.0357,30.1029,112.1,38.4615,34.0333,38.9423,47.75,41.5385,43.4792
32,3,3,128,128,128,1,1,647.75,28.4861,25.4,28.5,25.4,30.0882,29.0694,30.2206,29.3056,5.31053,36.0357,21.5208,33.9667,13.9653,5.56111,5.875
64,3,3,128,128,128,1,1,1288,30.3088,26.8947,30.4412,27.0132,32.3594,30.8235,31.9531,30.0882,13.5135,37.6429,24.1667,35.8571,17.3707,7.22857,6.97917
128,3,3,128,128,128,1,1,2619.25,35.2,29.6618,36.1786,29.7794,37.9286,34.6833,38.125,34.2,27.6316,43.3125,29.375,42.0625,22.875,11.5455,12.2561
256,3,3,128,128,128,1,1,5152,47.4318,37.4821,47.2955,37.5536,48.1818,41.7708,48.7045,40.6923,55.9722,53.375,41.0385,53.025,47.4318,32.7813,31.2353
512,3,3,128,128,128,1,1,10362.3,67.5313,52.9,67.6563,52.325,68.4063,55.6389,67.5313,56.25,115.05,74.3571,60.8889,74,74.8214,62.9375,65.1875
32,3,3,256,128,128,1,1,1302.25,48.7727,42.5625,48.9773,43.2292,60.1111,59.25,60.9444,60.8056,7.59848,74.8929,44.7083,69.1875,33.2813,9.86765,8.52119
64,3,3,256,128,128,1,1,2606.25,52.25,46,51.775,46.1818,65.25,61.3333,64.8438,62.5938,17.3707,79.5357,49.7273,73.6429,41.5769,15.7109,16.3548
128,3,3,256,128,128,1,1,5217,62.7813,54.025,65.5,54.2,75.3571,72,76.1071,69.125,32.7031,88.8333,59.3056,84.5833,53.825,22.0652,23.4091
256,3,3,256,128,128,1,1,10511.5,85.5417,64.0313,85.3333,65.2813,95.3333,81,95.4167,80.5,63.8125,110.15,84.3333,106,77.1786,48.7045,54.725
512,3,3,256,128,128,1,1,20987.5,129.75,95,126,96.1667,133.5,106.6,132.625,107.7,127.125,146,120.6,144.813,118.15,98.0833,100.2
32,3,3,512,128,128,1,1,2616.5,92.9167,79.8929,89.7917,82.9643,121.05,122.2,121.7,118.05,12.2622,150.5,90.8333,137.313,74.0714,23.6932,24.619
64,3,3,512,128,128,1,1,5220.25,96.0417,85.25,95.0417,87.625,130.5,125.25,132.375,123.45,26.4737,159.438,99.0417,145.938,83.5357,28.4583,29.6765
128,3,3,512,128,128,1,1,10513.3,119.45,98.25,114.05,98.625,153.438,138.313,150.938,137.063,46.4545,180.667,121.75,168.417,100.3,49.0682,50.725
256,3,3,512,128,128,1,1,21083.5,169.583,122.5,160.063,123.15,193.333,163.938,194.167,159.875,90,221,166.5,215.5,154.125,103.95,107.35
512,3,3,512,128,128,1,1,42234.3,241.417,176.5,234.083,173.667,268.75,207.833,263.75,210.833,174.5,292.125,239.833,287.875,234.083,191.417,196.167
32,3,3,3,256,256,1,1,70.8125,2.23438,2.13996,2.20264,2.15517,1.94089,1.81159,1.93147,1.85185,21.6875,2.22333,1.74652,2.08646,4.63889,3.11491,3.30757
64,3,3,3,256,256,1,1,142.375,2.86429,2.60233,3.01807,2.56122,2.59197,2.1197,2.58763,2.13191,48.6591,2.79749,2.42029,2.7875,9.47642,7.87891,8.52542
128,3,3,3,256,256,1,1,284,5.75862,4.25636,5.59167,4.30342,5.85465,4.15496,6.4019,4.0752,102.05,6.02711,5.46739,5.88529,15.6797,10.3469,15.875
256,3,3,3,256,256,1,1,566.75,15.1397,12.8526,15.303,12.8782,15.0515,12.8397,15.4091,12.6813,205.833,15.3485,14.9632,15.5758,67.75,64.5938,69.5313
512,3,3,3,256,256,1,1,1144.75,31.5469,27.2632,30.6324,27.7237,30.8824,27.1184,30.6618,27.6053,415.375,31.5469,30.9559,31.4688,148.25,141.938,147.375
32,3,3,32,256,256,1,1,614,37.5,33.5167,36.875,33.25,32.0313,30.9118,32.125,30.6029,22.5543,40.7885,24.7857,36.3571,16.621,6.2284,5.74713
64,3,3,32,256,256,1,1,1220,42.0833,34.4,42.875,35.2333,37.9286,32.7344,37.9821,33.2031,50.175,46.4318,30,42.25,23.6591,8.65948,10.2
128,3,3,32,256,256,1,1,2438.5,52.525,39.5192,52.15,39.2115,47.1136,36.5536,48.0682,37.125,105.75,54.525,39.8269,52.4,48.9091,27.3684,31.75
256,3,3,32,256,256,1,1,4885.5,72.8929,47.7045,70.6875,48.8409,65.1875,44.0625,64.9688,44.9792,208.75,73.5,59.6111,71.0938,108.2,91.2083,98.2917
512,3,3,32,256,256,1,1,9756.25,108.05,65.75,104.65,65.7813,97.4167,63.125,97.75,62.5313,422,106.75,93.9167,105.8,187.583,168.417,178.333
32,3,3,64,256,256,1,1,1310.25,57.5556,47.75,56.7778,47.3636,63.6563,61.7222,64.5938,61.5278,23.5909,82.25,51.35,75.4286,37.9821,9.81373,11.1778
64,3,3,64,256,256,1,1,2550,65.4375,50.15,65.5938,50.55,73.25,64.5938,72.9286,64.7813,51.25,91.0833,61.1389,85.4167,51.15,21.4063,23.5
128,3,3,64,256,256,1,1,5082.75,83.1786,57.9444,83.5,57.25,89.6667,70.25,89.5,70.5313,105.75,108.65,79.7857,102.1,80.3571,52.7,57.6389
256,3,3,64,256,256,1,1,10129.5,114.25,73.5,114.1,71.6786,118,84.5833,119.7,86.5833,210.75,137,109.6,131.813,163,136.938,140.25
512,3,3,64,256,256,1,1,20358,168.167,101.35,169.083,101.45,171.083,114.55,171.917,113.2,427.875,189.333,162.438,187,252.625,225.75,237.583
