wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
64,3,3,256,32,32,1,1,172.083,1.86754,3.71481,2.16558,2.5303,2.7027,4.5045,2.73361,3.95276,1.65811,3.24675,2.58119,3.04394,1.7766,0.572738,0.6875
128,3,3,256,32,32,1,1,343.75,2.64815,4.06911,2.71875,3.41837,3.28947,4.70794,3.34,5.81686,3.25812,3.70926,3.06555,3.70556,2.28539,1.03461,1.14794
256,3,3,256,32,32,1,1,686.75,3.53345,4.96287,3.67647,4.18958,4.39474,5.90588,4.39254,7.48881,6.71333,4.27331,4.20625,4.26059,3.25812,1.8764,2.014
512,3,3,256,32,32,1,1,1374.5,5.12245,6.58553,5.64045,6.63487,5.98512,7.52239,6.125,7.63636,13.3092,6.75676,5.96429,6.72,5.02228,3.38423,3.87791
32,3,3,512,32,32,1,1,172.333,3.08589,6.3,3.09568,3.27288,4.98762,8.51271,5.0375,5.27895,1.26582,5.88081,4.64352,6.26875,2.52387,0.535486,0.564972
64,3,3,512,32,32,1,1,345.375,4.04839,6.62171,3.75373,4.51126,5.56389,8.84649,6.18827,8.75862,2.4284,6.68,6.21605,7.10563,3.48264,1.16067,1.1743
128,3,3,512,32,32,1,1,691.5,4.93873,7.94048,5.09848,6.12805,6.45513,9.73558,6.76689,10.9674,4.37174,7.70769,6.41667,7.67424,4.70093,2.175,2.26584
256,3,3,512,32,32,1,1,1383.5,7.15357,9.80288,7.78846,7.64015,8.89474,11.7674,8.80263,15.4697,8.26639,10.005,8.83772,10.5208,6.69667,3.82252,4.10656
512,3,3,512,32,32,1,1,2762.5,10.8404,13.6351,11.2333,14.0556,12.8782,15.8672,13.3355,15.0588,15.9922,15.1742,13.4605,15.5682,9.91176,7.50735,8.06452
32,3,3,3,64,64,1,1,4.68925,0.140252,0.211506,0.141044,0.150286,0.213767,0.263435,0.212044,0.204165,1.47929,0.128403,0.112816,0.123732,0.276855,0.119531,0.216357
64,3,3,3,64,64,1,1,9.31481,0.161499,0.234962,0.183419,0.206612,0.169262,0.213767,0.175623,0.2405,2.85227,0.132767,0.12364,0.142369,0.405844,0.159236,0.360151
128,3,3,3,64,64,1,1,18.6759,0.2457,0.276702,0.269397,0.269107,0.192827,0.248139,0.18031,0.331238,5.42204,0.160772,0.160565,0.174095,1.336,1.05814,1.46701
256,3,3,3,64,64,1,1,37.4464,0.420378,0.326747,0.41792,0.350877,0.218245,0.32175,0.225124,0.430879,11.3864,0.193199,0.207625,0.234522,2.87644,2.23222,2.77778
